-63.71	-69.18	-67.54
-63.54	-69.45	-67.98
-63.54	-69.4	-68.03
-63.82	-69.51	-67.87
-64.04	-69.4	-68.09
-63.98	-69.51	-67.98
-63.98	-69.62	-68.09
-64.2	-69.62	-68.25
-64.09	-69.56	-68.25
-64.36	-69.67	-68.25
-64.25	-69.73	-68.41
-64.58	-70.17	-68.63
-64.58	-70.17	-68.63
-64.53	-70.28	-68.69
-64.58	-70.17	-68.69
-64.53	-70.28	-68.69
-64.58	-70.28	-68.91
-64.53	-70.44	-68.85
-64.75	-70.6	-69.02
-64.75	-70.33	-69.02
-64.8	-70.44	-69.07
-64.86	-70.28	-68.96
-65.02	-70.17	-69.13
-64.91	-70.11	-69.24
-64.75	-70.22	-69.18
-64.8	-70.11	-69.24
-65.08	-70.17	-69.18
-65.02	-70.06	-69.18
-65.24	-70.17	-69.18
-65.02	-70.17	-69.45
-65.18	-70.17	-69.35
-65.29	-70.17	-69.35
-65.24	-70.17	-69.4
-65.29	-70.22	-69.45
-65.29	-70.44	-69.51
-65.46	-70.44	-69.62
-65.46	-70.6	-69.56
-65.57	-70.71	-69.56
-65.46	-70.77	-69.62
-65.57	-70.82	-69.67
-65.46	-70.88	-69.67
-65.62	-70.88	-70
-65.68	-71.15	-69.67
-65.46	-71.04	-69.89
-65.68	-70.99	-69.78
-65.79	-70.99	-69.89
-65.68	-70.99	-70.17
-65.9	-70.99	-70.11
-65.79	-71.04	-70
-65.73	-70.99	-70.06
-65.79	-71.04	-70.11
-65.9	-71.15	-70.06
-65.9	-71.21	-70.06
-65.95	-70.99	-70
-65.95	-71.15	-70.11
-65.95	-71.59	-70.28
-65.9	-71.37	-70.11
-66.01	-71.59	-70.28
-66.12	-71.32	-70.28
-66.01	-71.59	-70.22
-66.22	-71.7	-70.17
-66.12	-71.7	-70.22
-66.12	-71.64	-70.28
-66.17	-71.86	-70.44
-66.22	-72.03	-70.28
-66.22	-72.03	-70.44
-66.39	-72.08	-70.33
-66.12	-72.14	-70.49
-66.39	-72.25	-70.49
-66.44	-72.3	-70.66
-66.5	-72.3	-70.6
-66.5	-72.41	-70.66
-66.5	-72.41	-70.71
